[INFO](2026-06-03 00:22:25.417)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:22:25.428)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:29.149)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:22:29.149)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:22:29.160)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:32.885)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:22:32.885)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:22:32.905)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:36.640)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:22:36.640)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:22:36.660)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:40.404)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:22:40.404)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:22:40.414)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:44.139)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:22:44.139)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:22:44.157)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:47.881)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:22:47.881)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:22:47.898)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:51.633)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:22:51.633)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:22:51.639)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
