[INFO](2026-06-06 00:35:07.901)	 EFEMClient:sendACK processSingleMessage=INF:READY/COMM
[INFO](2026-06-06 00:35:07.910)	 ELP1:ELP1:start command(from ): Update[]
[INFO](2026-06-06 00:35:07.914)	 EFEMClient:S GET:STATE/LP1;( 47 45 54 3a 53 54 41 54 45 2f 4c 50 31 3b )
[INFO](2026-06-06 00:35:07.923)	 EFEMClient:R INF:READY/COMM;( 49 4e 46 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b 0d )
[INFO](2026-06-06 00:35:07.961)	 EFEMClient:onDataRecv singleMessage=INF:READY/COMM
[INFO](2026-06-06 00:35:07.977)	 EFEMClient:onDataRecv body=READY/COMM
[INFO](2026-06-06 00:35:07.993)	 EFEMClient:S ACK:READY/COMM;( 41 43 4b 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b )
[INFO](2026-06-06 00:35:08.003)	 EFEMClient:sendACK processSingleMessage=INF:READY/COMM
[INFO](2026-06-06 00:35:08.074)	 EFEMClient:RS ACK:STATE/LP1;INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 31 3b 0d 49 4e 46 3a 53 54 41 54 45 2f 4c 50 31 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:08.182)	 ELP1:ELP1:start command(from ): Update[]
[INFO](2026-06-06 00:35:08.222)	 EFEMClient:R ACK:STATE/LP1;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 31 3b 0d )
[INFO](2026-06-06 00:35:08.272)	 TM_vacuum:1.088905
[INFO](2026-06-06 00:35:08.390)	 EFEMClient:S GET:STATE/LP1;( 47 45 54 3a 53 54 41 54 45 2f 4c 50 31 3b )
[INFO](2026-06-06 00:35:08.408)	 EFEMClient:onDataRecv singleMessage=ACK:STATE/LP1
[INFO](2026-06-06 00:35:08.502)	 EFEMClient:RS ACK:STATE/LP1;INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 31 3b 0d 49 4e 46 3a 53 54 41 54 45 2f 4c 50 31 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:08.512)	 pipe_vacuum:100000.000000
[INFO](2026-06-06 00:35:08.530)	 EFEMClient:onDataRecv body=STATE/LP1
[INFO](2026-06-06 00:35:08.542)	 EFEMClient:10 processSingleMessage=ACK:STATE/LP1
[INFO](2026-06-06 00:35:09.051)	 EFEMClient:R INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 49 4e 46 3a 53 54 41 54 45 2f 4c 50 31 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:09.183)	 EFEMClient:onDataRecv singleMessage=INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED
[INFO](2026-06-06 00:35:09.276)	 EFEMClient:onDataRecv body=STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED
[INFO](2026-06-06 00:35:09.438)	 EFEMClient:10 processSingleMessage=INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED
[INFO](2026-06-06 00:35:09.700)	 EFEMClient:S GET:MAPDT/LP1;( 47 45 54 3a 4d 41 50 44 54 2f 4c 50 31 3b )
[INFO](2026-06-06 00:35:09.724)	 EFEMClient:RS ACK:MAPDT/LP1;INF:MAPDT/LP1/?????????????????????????;( 41 43 4b 3a 4d 41 50 44 54 2f 4c 50 31 3b 0d 49 4e 46 3a 4d 41 50 44 54 2f 4c 50 31 2f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3b 0d )
[INFO](2026-06-06 00:35:09.863)	 EFEMClient:R ACK:STATE/LP1;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 31 3b 0d )
[INFO](2026-06-06 00:35:09.876)	 ELP2:ELP2:start command(from ): Update[]
[INFO](2026-06-06 00:35:09.891)	 EFEMClient:onDataRecv singleMessage=ACK:STATE/LP1
[INFO](2026-06-06 00:35:09.905)	 EFEMClient:S GET:STATE/LP2;( 47 45 54 3a 53 54 41 54 45 2f 4c 50 32 3b )
[INFO](2026-06-06 00:35:09.913)	 EFEMClient:onDataRecv body=STATE/LP1
[INFO](2026-06-06 00:35:09.920)	 EFEMClient:10 processSingleMessage=ACK:STATE/LP1
[INFO](2026-06-06 00:35:10.168)	 EFEMClient:RS ACK:STATE/LP2;INF:STATE/LP2/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 32 3b 0d 49 4e 46 3a 53 54 41 54 45 2f 4c 50 32 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:10.257)	 EFEMClient:R INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 49 4e 46 3a 53 54 41 54 45 2f 4c 50 31 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:10.270)	 EFEMClient:onDataRecv singleMessage=INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED
[INFO](2026-06-06 00:35:10.294)	 EFEMClient:onDataRecv body=STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED
[INFO](2026-06-06 00:35:10.330)	 EFEMClient:10 processSingleMessage=INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED
[INFO](2026-06-06 00:35:10.341)	 EFEMClient:S GET:MAPDT/LP1;( 47 45 54 3a 4d 41 50 44 54 2f 4c 50 31 3b )
[INFO](2026-06-06 00:35:10.361)	 ELP2:ELP2:start command(from ): Update[]
[INFO](2026-06-06 00:35:10.372)	 EFEMClient:R ACK:STATE/LP1;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 31 3b 0d )
[INFO](2026-06-06 00:35:10.418)	 EFEMClient:S GET:STATE/LP2;( 47 45 54 3a 53 54 41 54 45 2f 4c 50 32 3b )
[INFO](2026-06-06 00:35:10.426)	 EFEMClient:onDataRecv singleMessage=ACK:STATE/LP1
[INFO](2026-06-06 00:35:10.458)	 EFEMClient:RS ACK:MAPDT/LP1;INF:MAPDT/LP1/?????????????????????????;( 41 43 4b 3a 4d 41 50 44 54 2f 4c 50 31 3b 0d 49 4e 46 3a 4d 41 50 44 54 2f 4c 50 31 2f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3b 0d )
[INFO](2026-06-06 00:35:10.462)	 EFEMClient:onDataRecv body=STATE/LP1
[INFO](2026-06-06 00:35:10.472)	 EFEMClient:10 processSingleMessage=ACK:STATE/LP1
[INFO](2026-06-06 00:35:10.513)	 EFEMClient:RS ACK:STATE/LP2;INF:STATE/LP2/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 32 3b 0d 49 4e 46 3a 53 54 41 54 45 2f 4c 50 32 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:10.575)	 EFEMClient:R INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 49 4e 46 3a 53 54 41 54 45 2f 4c 50 31 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:10.594)	 LLB_vacuum:100823.195964
[INFO](2026-06-06 00:35:10.597)	 LLA_vacuum:1.084772
[INFO](2026-06-06 00:35:10.611)	 EFEMClient:onDataRecv singleMessage=INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED
[INFO](2026-06-06 00:35:10.620)	 EFEMClient:onDataRecv body=STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED
[INFO](2026-06-06 00:35:10.648)	 EFEMClient:10 processSingleMessage=INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED
[INFO](2026-06-06 00:35:10.667)	 EFEMClient:S GET:MAPDT/LP1;( 47 45 54 3a 4d 41 50 44 54 2f 4c 50 31 3b )
[INFO](2026-06-06 00:35:10.707)	 EFEMClient:R ACK:STATE/LP1;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 31 3b 0d )
[INFO](2026-06-06 00:35:10.713)	 ELP2:ELP2:start command(from ): Update[]
[INFO](2026-06-06 00:35:10.724)	 EFEMClient:onDataRecv singleMessage=ACK:STATE/LP1
[INFO](2026-06-06 00:35:10.744)	 EFEMClient:S GET:STATE/LP2;( 47 45 54 3a 53 54 41 54 45 2f 4c 50 32 3b )
[INFO](2026-06-06 00:35:10.770)	 EFEMClient:RS ACK:MAPDT/LP1;INF:MAPDT/LP1/?????????????????????????;( 41 43 4b 3a 4d 41 50 44 54 2f 4c 50 31 3b 0d 49 4e 46 3a 4d 41 50 44 54 2f 4c 50 31 2f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3f 3b 0d )
[INFO](2026-06-06 00:35:10.787)	 EFEMClient:onDataRecv body=STATE/LP1
[INFO](2026-06-06 00:35:10.814)	 EFEMClient:RS ACK:STATE/LP2;INF:STATE/LP2/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 32 3b 0d 49 4e 46 3a 53 54 41 54 45 2f 4c 50 32 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:10.818)	 EFEMClient:10 processSingleMessage=ACK:STATE/LP1
